restaurant_id,review
16668008,i love arigato sushi!!!! the best restaurant in yorkton! they are always serving a delicious food and service is good. the price is not bad. my fav roll is crazy roll!!! but they are not enough for big table but it is okey to having fun with family time!  Family Eats Friend
16668008,"Was in Yorkton on a work trip and decided to try a few local spots. The sushi was ok, tuna smelled a little odd. The beef short ribs were tough and hard to eat but did have good flavour. Restaurant was clean. Service was overall ok."
16668008,"Had a sushi supper last week. The waitress was attentive and very nice. Although it isn't huge inside, we fit into a booth and were quite comfortable. The sushi was made fresh, the rolls were delicious and the nigiri was good as well.   We ordered the sushi tray 'b', maki combo, and unagi rolls, while the kids also enjoyed the chicken teriyaki meal and udong soup. We had started with the tako yaki (battered octopus) and it was great, done differently then I expected but I would have again.  We do wish they would have had a better mixed sushi combo available. But we worked it out, topped it off with a sapporo and we were stuffed! Overall I was impressed at the sushi in Yorkton."
16668008,"I was travelling trough and called in my order for Pick-up,  I never stayed to eat in the restaurant, seems ok at a glance and staff appeared friendly.   Ordered the assorted sushi combo (spicy maki) and I was pleasantly surprised.  All seafood nigiri and no sweet egg or bean curd,  I don't care for those 2.  If I was staying in Yorkton I would eat here again and I would definitely call in an order for pick up again while passing through."
16668008,"Delicious Food.. Yorkton isn't exactly known for its food and it can definitely be difficult to find variety, much less variety that is as good as this. The restaurant itself isn't really anything special, aside from the waitresses, who dress is traditional garb.... But looks can be deceiving and the food here is amazing. I tried several items on the menu, ranging from sushi to stir-fried noodles with beef and soup, as well as tempura, and all of it was delicious. The portions were quite large as well.  I would definitely recommend this place if you're looking for something a little different.... If you're a fan of sushi or want to give it a try, they have a lot to choose from and you won't be disappointed. The prices ""seem"" a bit high for the sushi but you really do get large portions... And even if you're not a fan of sushi or have no interest in trying it, they have plenty of other options to choose from."
801690,"I just Simply love This Place.....It is ideal for Breakfast.....Lunch.....Dinner....All three meals....and For Snacking Off course. Their Shakes,Coffees And All The preparations are top quality and full of flavours.   The Only shortcoming is that it is not Pocket Friendly...And people Who don’t SMOKE HUKKAH might feel uncomfortable 😣.......else the Open Air view is Really Beautiful.   Ignoring the Drawbacks.....This Place is Excellent.   RECOMMENDED 😊"
801690,"I have been to this place thrice.  Everytime it has been a great experience. Quite huge and lively place. Loved the ambience and the interiors.   Service and food were exceptionally great.  Also, this place is always crowded, so you might have to wait to get a place to dine."
801690,This place servess the bestt food !! 🥪🍔🍴🍱 Delicious & yummy food ... Soft drinks available 🥂🥂 Lot of food options  Good quality food Better services 🧹💡 Affordable rates 💸💸💸💸 . . .being a foodie makess you roam all around your area and allow you to taste delicious food 🍴🍱🍱🍔🥪🥪 Must visit this cafee !!!
308697,
17558738,"Delicious. There's not a single dish i've tried at Blue House that is offensive on the palette. They have a very family feel to their service, and even though we only go once a month, they always recognize us with a smile. They remember just how we want our mint tea (brown sugar please!) they know just how much organic syrup to put on our crepes. They are most definitely a great atmosphere with even better cuisine!"
17558738,"Fresh food!! This is how food should be made! Very clean and the beer is great!  -----26 Mar, 2011----- They brew there own beer and the food is fresh!!!"
16611701,"A lot of food and many varieties, some of the sushi is not fresh. Love the many desserts to eat especially the Portuguese tart. Very cheap if you live in Citigate motel as you get 10% Off to eat at the buffet.  Overall, a good place to eat with your family."
16611701,"Fantastic and good quality food, lots of seafood and various meat dishes, a great place to go to with kids. The Asian dishes are probably the most authentic, among all the all you can eat places in Newcastle..."
16611701,"Had a birthday lunch for a cousin last Sunday, hoping for a great day. Food is mediocre and not much choice. Dessert is not impressive. We couldn't eat all we can, because we easily got sick of the taste of the food. We only chose this restaurant because it's closer to home. We should have chosen to travel a bit farther, so long as we'd have a really great day and delectable lunch. The worst part of our lunch was our encounter with a fair-skinned Chinese-looking customer service male staff named ""Linus"". We requested him nicely to take us a photo, so that we could all be in a photo as a souvenir of that birthday lunch. To our dismay, he refused, saying he's busy. Then, he stood next to the cashier doing nothing. Five minutes later, he passed by our table. For the second time, we requested him to take us a photo. Again, he said, he's too busy. He tried to push a chair near our table even if the chair didn't need to be pushed, then stood again next to the cashier doing nothing. We would understand his refusal if he was really busy. But there were only a few tables occupied at that time (around 11:45 am). It wasn't too busy at all. He didn't even respond to us in a friendly manner. He was RUDE. He was avoiding us as if we have a contagious disease, just like what other racists do. He probably doesn't like Spanish-looking people or dark-skinned customers like asians. He is asian, too, but fair-skinned. In fairness, there was a female staff named ""Quhyn"" who took us a couple of photos later. I made my written complaint to the management on that day about the rudeness of ""Linus"". So, if you are dark-skinned, and decide to dine in that mediocre restaurant, and if you want to have a group photo, try to ask ""Linus"" to do it. If he will be rude to you, that means the management didn't teach him how to be an effective and efficient customer service staff. Then, it is up to you if you still want to support a restaurant that employs rude staff. You might want to try another ""eat all you can"" restaurant - Billabongs Family Restaurant inside East Maitland Bowling Club at the corner of Banks Street and New England Highway, East Maitland, NSW. They have more food choices there and friendly and helpful staff."
16611701,"Value for money, and lovely asian and dessert."
16611701,"I went there on a Sunday night just recently. First time in over a year and found the qualitly of food has gone downhill, quite disappointing really.  It all looks lovely but tasted terrible. Seafood had been frozen so had little flavour. The salads were not fresh. Plenty of effort put into the deep fried food which is ok if you don't care about your waistline!  The staff are everywhere and are very helpful and tentative.  Unfortunate we won't be going back unless they review their food quality and have it changed."
2100784,11th avenue cafe has always been my favorite..loved the cheesy meaty fries here..it was in the month of February when things were better.. looking forward to brighter days to grab a coffee here soon.
2100784,Been there with friends. loved their yummy chicken burger and the sandwich..lovely ambience along with good food i must say...
2100784,If you are into continental dishes then this is the ideal place you should be... early risers can come here for breakfast dates because the breakfast here is really the best one...and do follow me on Instagram for more @foodiehoodie2020
801269,One of the oldest cafe near my house . I started going there from my school daysss. I love this place .. One of the best shake and coffee they provide.. Ambiance is very attractive... Staff is friendly and cooperative.. I have visited there with my friend.. They also like this place.. Cappuccino was great. I will suggest everyone to come here and enjoy...
801269,The lasagna is really tasty and worth trying it! It is like real Italian pasta! Congratulations to the team and cooks of VM for  making the effort to bring truly international recipes. Pancakes are also real good! And the menu is varied and very good!
801269,The service has declined by many folds at this restaurant. Food got served after an hour and in that too not all items were present as mentioned in menu.
18483082,"Great ambience here.. I am here supporting, Cosmic Armchair Contact Album Launch.. venue provides decent sound system. The finger food served are in decent proportions. Service staff are polite and attentive."
18483082,Had a crab burger
